,FIPS,State,County,Population (2019),Area (Sq. Miles),Population Density,Metro?,Urban Influence Code (2013),UIC Description,Rural-Urban Continuum Code (2013),RCC Description,Economic Typology (2015),ET Description,Domestic Migration 2015,Domestic Migration 2016,Domestic Migration 2017,Domestic Migration 2018,Domestic Migration 2019,Weighted Domestic Migration,Number of Properties,Residents per Property,Active Listings (Realtor),Days on Market (Realtor),Days on Market (Redfin),Avg. DOM,New List to Sold,Sold Properties (2020),Sold Properties to Total Properties (2020),Owners in-zip,Owners in-State,Percent Owners in-zip,Percent Owners in-State,Mean Sale Price,Median Sale Price,Sale Price Std. Dev.,Mean Sale Price per Acre,Median Sale Price per Acre,Sale Price per Acre Std. Dev.,Mean Lot Acreage,Median Lot Acreage,Lot Acreage Std. Dev.,Mean Sale to Assessed Ratio,Median Sale to Assessed Ratio,Sale to Assessed Ratio Std. Dev.
1780,32001,NV,Churchill,24909.0,5024.0,4.958001592356688,Non-metro,5,Micropolitan adjacent to a small metro area                                                         ,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,Nonspecialized,0.4604340637,-4.304130712,3.6724047992,18.340305397,13.801477284,11.704634550631251,13984.0,1.78125,,,74.9090909090909,74.9090909090909,1.0805970149253732,26,0.0018592677345537758,8,19,30.76923076923077,73.07692307692307,72772.76923076923,39000.0,86223.546750204,24088.469999999998,7231.295,41422.77596764456,16.916538461538458,8.07,16.87893146909666,7.622692307692309,5.36,8.102823487003679
1781,32003,NV,Clark,2266715.0,8061.0,281.1952611338544,Metro,1,Large-in a metro area with at least 1 million residents or more                                     ,1,Counties in metro areas of 1 million population or more,5,Recreation,12.438036932,13.081644829,13.481863436,16.042652147,14.085999248,14.333875700312499,831303.0,2.7267013351329177,4344.0,33.5,45.54545454545455,39.52272727272727,1.1978896962610317,391,0.00047034595087471116,47,312,12.020460358056265,79.79539641943734,5245715.26342711,950000.0,44971363.93398309,1133811.6024296675,307788.94,8513173.631002609,5.299079283887468,2.5,6.319532372455929,14.447263427109977,4.41,93.68872423427386
1782,32005,NV,Douglas,48905.0,738.0,66.26693766937669,Non-metro,3,Micropolitan adjacent to a large metro area                                                         ,4,"Urban population of 20,000 or more, adjacent to a metro area",5,Recreation,3.9461050677,11.151011151,9.7846949846,15.085112776,14.189785818,13.03282773974375,28398.0,1.7221283188956968,72.0,33.5,67.36363636363636,50.43181818181818,0.9966666666666667,63,0.0022184660891612085,8,29,12.698412698412698,46.03174603174603,332042.0634920635,235000.0,374574.61703420116,129109.88238095239,58000.0,219984.60440966426,11.953333333333335,4.47,15.744565165734636,7.3973015873015875,4.23,9.459531326852675
1783,32007,NV,Elko,52778.0,17203.0,3.0679532639655873,Non-metro,8,Micropolitan not adjacent to a metro area                                                           ,5,"Urban population of 20,000 or more, not adjacent to a metro area",2,Mining,-26.24233879,-1.483479434,-2.221392392,-4.785692495,-2.278834376,-4.3463779997500005,44509.0,1.1857826506998586,131.0,172.0,,172.0,,167,0.0037520501471612483,41,96,24.550898203592812,57.48502994011976,44905.39520958084,12000.0,87467.64635339117,16707.595988023953,3878.41,43590.00323935297,10.263952095808383,2.27,13.388079482833048,14.976407185628739,7.57,45.329446322246135
1784,32009,NV,Esmeralda,873.0,3589.0,0.24324324324324326,Non-metro,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              ",9,"Completely rural or less than 2,500 urban population, not adjacent to a metro area",2,Mining,7.2551390568,-6.038647343,25.164769323,-21.55688623,54.117647059,24.8912288694875,,,,,,,,0,0.0,0,0,,,,,,,,,,,,,,
1785,32011,NV,Eureka,2029.0,4180.0,0.4854066985645933,Non-metro,8,Micropolitan not adjacent to a metro area                                                           ,9,"Completely rural or less than 2,500 urban population, not adjacent to a metro area",2,Mining,13.442867812,-46.91046658,6.6975785677,22.819472617,14.402781227,11.651731165712501,,,,,,,,56,,6,22,10.714285714285714,39.285714285714285,13256.089285714286,6095.0,15190.314476697775,1751.8574999999998,744.4449999999999,3394.574488285816,16.524642857142858,10.0,14.08926257368106,9.280000000000001,5.545,9.890335778838947
1786,32013,NV,Humboldt,16831.0,9658.0,1.7427003520397597,Non-metro,8,Micropolitan not adjacent to a metro area                                                           ,7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",2,Mining,-20.15657864,-20.46610671,-11.63692785,-1.910618861,-3.272932845,-6.107654953375,17617.0,0.9553840040869614,,,51.54545454545455,51.54545454545455,1.0,292,0.016574899245047396,47,143,16.095890410958905,48.97260273972603,124305.30821917808,12620.0,832866.3031832159,24563.32688356164,1561.76,92103.75768539184,15.807979452054795,8.905000000000001,16.2194682253027,34.312123287671234,3.96,176.85647588409878
1787,32015,NV,Lander,5532.0,5519.0,1.0023554991846348,Non-metro,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents                        ",7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",2,Mining,-24.66007939,-40.84104872,-27.16860517,-14.2009707,-9.56765051,-15.823964083125,6860.0,0.8064139941690962,,,,,,36,0.0052478134110787176,9,12,25.0,33.33333333333333,27279.305555555555,7000.0,70123.34185493422,4760.837222222222,700.0,15005.3479180095,16.916944444444447,10.0,14.004436811126157,6.721666666666667,3.7800000000000002,6.80799676850687
1788,32017,NV,Lincoln,5183.0,10637.0,0.48726144589639936,Non-metro,4,Noncore adjacent to a large metro area                                                              ,8,"Completely rural or less than 2,500 urban population, adjacent to a metro area",4,Government,-9.095307209,6.2196307094,8.5065248913,8.8224012275,-9.021113244,-1.4213704849375,4998.0,1.037014805922369,,,,,,31,0.006202480992396959,5,26,16.129032258064516,83.87096774193549,49334.096774193546,32500.0,54163.10417270834,17620.89483870968,6974.79,25267.45609277896,6.922903225806453,2.5,8.423143591141567,6.217096774193548,4.08,6.241994442776756
1789,32019,NV,Lyon,57510.0,2024.0,28.41403162055336,Non-metro,5,Micropolitan adjacent to a small metro area                                                         ,4,"Urban population of 20,000 or more, adjacent to a metro area",0,Nonspecialized,12.583730205,15.685750041,23.489240352,35.512451234,29.843897532,28.503059133875,32881.0,1.7490343967640887,42.0,19.5,70.0,44.75,1.0750695088044486,126,0.0038320002433016027,22,76,17.46031746031746,60.317460317460316,99959.10317460318,38000.0,255902.5500898287,25669.96166666667,8351.560000000001,49770.13490300548,6.8694444444444445,4.77,8.865983740617219,7.281507936507937,3.725,12.781468276686232
1790,32021,NV,Mineral,4505.0,3813.0,1.181484395489116,Non-metro,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",0,Nonspecialized,-7.424907189,-2.95588904,22.873966708,23.335926214,1.1050944856,8.5969748704875,19151.0,0.2352357579238682,,,146.8181818181818,146.8181818181818,1.25,0,0.0,0,0,,,,,,,,,,,,,,
1791,32023,NV,Nye,46523.0,18199.0,2.5563492499587888,Non-metro,3,Micropolitan adjacent to a large metro area                                                         ,4,"Urban population of 20,000 or more, adjacent to a metro area",0,Nonspecialized,10.721860942,16.261860023,25.657781599,37.459484315,38.098768932,33.3079608049375,59944.0,0.7761077005204858,,,83.18181818181819,83.18181818181819,1.119205298013245,222,0.003703456559455492,37,164,16.666666666666664,73.87387387387388,33188.15315315315,18000.0,61234.22411608243,22446.199594594596,11757.045,53748.64761502226,2.728468468468469,1.14,4.831303506446211,9.221756756756756,5.305,17.746972186452506
1792,32027,NV,Pershing,6725.0,6067.0,1.1084555793637711,Non-metro,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              ",9,"Completely rural or less than 2,500 urban population, not adjacent to a metro area",2,Mining,-13.51351351,-7.730786721,-15.94480644,30.256956059,4.3251304996,6.405934695112501,12405.0,0.5421201128577187,,,216.7,216.7,0.7619047619047619,0,0.0,0,0,,,,,,,,,,,,,,
1793,32029,NV,Storey,4123.0,264.0,15.617424242424242,Metro,2,Small-in a metro area with fewer than 1 million residents                                           ,2,"Counties in metro areas of 250,000 to 1 million population",0,Nonspecialized,20.315145201,30.526583567,4.0190906807,6.2837752922,38.252714709,24.377295560637503,4884.0,0.8441850941850941,,,87.0909090909091,87.0909090909091,0.9538461538461539,17,0.003480753480753481,1,9,5.88235294117647,52.94117647058824,40762.58823529412,35000.0,24637.06431897585,14941.199411764706,9021.11,13589.990550166172,7.5576470588235285,3.27,9.66676298549039,3.9047058823529417,3.14,2.173563081805595
1794,32031,NV,Washoe,471519.0,6542.0,72.07566493427086,Metro,2,Small-in a metro area with fewer than 1 million residents                                           ,2,"Counties in metro areas of 250,000 to 1 million population",5,Recreation,9.0673221357,12.786714729,12.756633184,14.782031807,13.422761422,13.36734511479375,175571.0,2.6856314539417103,361.0,15.0,60.27272727272727,37.63636363636364,1.0436086127010085,151,0.0008600509195709998,41,113,27.1523178807947,74.83443708609272,394789.0463576159,100000.0,1704335.4417752093,109901.58225165564,15248.88,247489.57364899784,13.140794701986753,5.02,15.158937056982976,6.557284768211921,4.16,11.410398294758737
1795,32033,NV,White Pine,9580.0,8897.0,1.0767674497021469,Non-metro,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",2,Mining,-17.37994776,-13.45428601,-16.18556701,-13.65223282,3.0334728033,-5.846657290225,7854.0,1.2197606315253373,,,,,,21,0.00267379679144385,5,18,23.809523809523807,85.71428571428571,37640.90476190476,24000.0,38727.478864373246,7849.499047619047,3750.0,11343.537191298798,8.447142857142858,5.08,8.402636576014187,7.221428571428573,3.17,8.194489176095288
1796,32510,NV,Carson City,55916.0,,,Metro,2,Small-in a metro area with fewer than 1 million residents                                           ,3,"Counties in metro areas of fewer than 250,000 population",4,Government,0.4808136847,6.9121655963,9.5510632229,14.343776769,14.309112835,12.396444717675001,,,29.0,15.0,63.09090909090909,39.04545454545455,1.0244956772334295,9,,3,4,33.33333333333333,44.44444444444444,816679.2222222222,432613.0,955290.7731211709,199989.41222222222,146788.99,139030.90398257485,6.113333333333333,3.16,7.58678785784867,8.772222222222222,4.11,7.650663006854011
