,FIPS,State,County,Population (2019),Population Density,Number of Properties,Residents per Property,Days on Market (Realtor),Days on Market (Redfin),New List to Sold (Redfin),Domestic Migration (2019),Weighted Domestic Migration,Sold Properties (2020),Sold to Total Properties (2020),Percent Owners in-zip,Percent Ownersin-State,County Name,Average Ranking,Normal Score Ranking,Urban Influence Code (2013),UIC Description,Rural-Urban Continuum Code,RCC Description
1780,32001,NV,Churchill,24909.0,4.958001592356688,13984.0,1.78125,,74.9090909090909,1.0805970149253732,13.801477284,11.704634550631251,26,0.0018592677345537758,30.76923076923077,73.07692307692307,Churchill,9.1,11.0,5,Micropolitan adjacent to a small metro area                                                         ,6,"Urban population of 2,500 to 19,999, adjacent to a metro area"
1781,32003,NV,Clark,2266715.0,281.1952611338544,831303.0,2.7267013351329177,44.5,45.54545454545455,1.1978896962610317,14.085999248,14.333875700312499,391,0.00047034595087471116,12.020460358056265,79.79539641943734,Clark,7.181818181818182,15.0,1,Large-in a metro area with at least 1 million residents or more                                     ,1,Counties in metro areas of 1 million population or more
1782,32005,NV,Douglas,48905.0,66.26693766937669,28398.0,1.7221283188956968,73.0,67.36363636363636,0.9966666666666667,14.189785818,13.03282773974375,63,0.0022184660891612085,12.698412698412698,46.03174603174603,Douglas,7.2727272727272725,8.0,3,Micropolitan adjacent to a large metro area                                                         ,4,"Urban population of 20,000 or more, adjacent to a metro area"
1783,32007,NV,Elko,52778.0,3.0679532639655873,44509.0,1.1857826506998586,165.0,,,-2.278834376,-4.3463779997500005,167,0.0037520501471612483,24.550898203592812,57.48502994011976,Elko,9.444444444444445,17.0,8,Micropolitan not adjacent to a metro area                                                           ,5,"Urban population of 20,000 or more, not adjacent to a metro area"
1784,32009,NV,Esmeralda,873.0,0.24324324324324326,,,,,,54.117647059,24.8912288694875,0,0.0,,,Esmeralda,4.5,1.0,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              ",9,"Completely rural or less than 2,500 urban population, not adjacent to a metro area"
1785,32011,NV,Eureka,2029.0,0.4854066985645933,,,,,,14.402781227,11.651731165712501,56,,10.714285714285714,39.285714285714285,Eureka,4.2,3.0,8,Micropolitan not adjacent to a metro area                                                           ,9,"Completely rural or less than 2,500 urban population, not adjacent to a metro area"
1786,32013,NV,Humboldt,16831.0,1.7427003520397597,17617.0,0.9553840040869614,,51.54545454545455,1.0,-3.272932845,-6.107654953375,292,0.016574899245047396,16.095890410958905,48.97260273972603,Humboldt,7.1,4.0,8,Micropolitan not adjacent to a metro area                                                           ,7,"Urban population of 2,500 to 19,999, not adjacent to a metro area"
1787,32015,NV,Lander,5532.0,1.0023554991846348,6860.0,0.8064139941690962,,,,-9.56765051,-15.823964083125,36,0.0052478134110787176,25.0,33.33333333333333,Lander,8.142857142857142,9.0,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents                        ",7,"Urban population of 2,500 to 19,999, not adjacent to a metro area"
1788,32017,NV,Lincoln,5183.0,0.48726144589639936,4998.0,1.037014805922369,,,,-9.021113244,-1.4213704849375,31,0.006202480992396959,16.129032258064516,83.87096774193549,Lincoln,8.571428571428571,10.0,4,Noncore adjacent to a large metro area                                                              ,8,"Completely rural or less than 2,500 urban population, adjacent to a metro area"
1789,32019,NV,Lyon,57510.0,28.41403162055336,32881.0,1.7490343967640887,24.5,70.0,1.0750695088044486,29.843897532,28.503059133875,126,0.0038320002433016027,17.46031746031746,60.317460317460316,Lyon,6.090909090909091,6.0,5,Micropolitan adjacent to a small metro area                                                         ,4,"Urban population of 20,000 or more, adjacent to a metro area"
1790,32021,NV,Mineral,4505.0,1.181484395489116,19151.0,0.2352357579238682,,146.8181818181818,1.25,1.1050944856,8.5969748704875,0,0.0,,,Mineral,8.25,14.0,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",7,"Urban population of 2,500 to 19,999, not adjacent to a metro area"
1791,32023,NV,Nye,46523.0,2.5563492499587888,59944.0,0.7761077005204858,,83.18181818181819,1.119205298013245,38.098768932,33.3079608049375,222,0.003703456559455492,16.666666666666664,73.87387387387388,Nye,5.8,5.0,3,Micropolitan adjacent to a large metro area                                                         ,4,"Urban population of 20,000 or more, adjacent to a metro area"
1792,32027,NV,Pershing,6725.0,1.1084555793637711,12405.0,0.5421201128577187,,216.7,0.7619047619047619,4.3251304996,6.405934695112501,0,0.0,,,Pershing,9.75,13.0,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              ",9,"Completely rural or less than 2,500 urban population, not adjacent to a metro area"
1793,32029,NV,Storey,4123.0,15.617424242424242,4884.0,0.8441850941850941,,87.0909090909091,0.9538461538461539,38.252714709,24.377295560637503,17,0.003480753480753481,5.88235294117647,52.94117647058824,Storey,6.5,2.0,2,Small-in a metro area with fewer than 1 million residents                                           ,2,"Counties in metro areas of 250,000 to 1 million population"
1794,32031,NV,Washoe,471519.0,72.07566493427086,175571.0,2.6856314539417103,32.0,60.27272727272727,1.0436086127010085,13.422761422,13.36734511479375,151,0.0008600509195709998,27.1523178807947,74.83443708609272,Washoe,8.454545454545455,12.0,2,Small-in a metro area with fewer than 1 million residents                                           ,2,"Counties in metro areas of 250,000 to 1 million population"
1795,32033,NV,White Pine,9580.0,1.0767674497021469,7854.0,1.2197606315253373,,,,3.0334728033,-5.846657290225,21,0.00267379679144385,23.809523809523807,85.71428571428571,White Pine,10.285714285714286,16.0,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",7,"Urban population of 2,500 to 19,999, not adjacent to a metro area"
1796,32510,NV,Carson City,55916.0,,,,15.5,63.09090909090909,1.0244956772334295,14.309112835,12.396444717675001,9,,33.33333333333333,44.44444444444444,Carson City,5.5,7.0,2,Small-in a metro area with fewer than 1 million residents                                           ,3,"Counties in metro areas of fewer than 250,000 population"
